UN,ISO3,Name,Start,End
4,AFG,Afghanistan,1962,Now
472,,"Africa CAMEU region, nes",1962,2004
8,ALB,Albania,1962,Now
12,DZA,Algeria,1962,Now
16,ASM,American Samoa,1962,Now
20,AND,Andorra,1962,Now
24,AGO,Angola,1962,Now
660,AIA,Anguilla,1981,Now
10,ATA,Antarctica,1962,Now
28,ATG,Antigua and Barbuda,1962,Now
899,,"Areas, nes",1962,Now
32,ARG,Argentina,1962,Now
51,ARM,Armenia,1992,Now
533,ABW,Aruba,1988,Now
36,AUS,Australia,1962,Now
40,AUT,Austria,1962,Now
31,AZE,Azerbaijan,1992,Now
44,BHS,Bahamas,1962,Now
48,BHR,Bahrain,1962,Now
50,BGD,Bangladesh,1972,Now
52,BRB,Barbados,1962,Now
112,BLR,Belarus,1992,Now
56,BEL,Belgium,1999,Now
58,BEL,Belgium-Luxembourg,1962,1998
84,BLZ,Belize,1962,Now
204,BEN,Benin,1962,Now
60,BMU,Bermuda,1962,Now
64,BTN,Bhutan,1962,Now
68,BOL,Bolivia (Plurinational State of),1962,Now
535,BES,Bonaire,2011,Now
70,BIH,Bosnia Herzegovina,1992,Now
72,BWA,Botswana,2000,Now
74,,Bouvet Island,1962,Now
80,,Br. Antarctic Terr.,1962,Now
86,IOT,Br. Indian Ocean Terr.,1962,Now
92,VGB,Br. Virgin Isds,1962,Now
76,BRA,Brazil,1962,Now
96,BRN,Brunei Darussalam,1962,Now
100,BGR,Bulgaria,1962,Now
837,,Bunkers,1962,Now
854,BFA,Burkina Faso,1962,Now
108,BDI,Burundi,1962,Now
132,CPV,Cabo Verde,1962,Now
471,,"CACM, nes",1962,2004
116,KHM,Cambodia,1962,Now
120,CMR,Cameroon,1962,Now
124,CAN,Canada,1962,Now
129,,"Caribbean, nes",1962,2004
136,CYM,Cayman Isds,1962,Now
140,CAF,Central African Rep.,1962,Now
148,TCD,Chad,1962,Now
152,CHL,Chile,1962,Now
156,CHN,China,1962,Now
344,HKG,"China, Hong Kong SAR",1962,Now
446,MAC,"China, Macao SAR",1962,Now
162,CXR,Christmas Isds,1962,Now
166,CCK,Cocos Isds,1962,Now
170,COL,Colombia,1962,Now
174,COM,Comoros,1962,Now
178,COG,Congo,1962,Now
184,COK,Cook Isds,1962,Now
188,CRI,Costa Rica,1962,Now
384,CIV,Côte d'Ivoire,1962,Now
191,HRV,Croatia,1992,Now
192,CUB,Cuba,1962,Now
531,CUW,Curaçao,2010,Now
196,CYP,Cyprus,1962,Now
203,CZE,Czechia,1993,Now
200,,Czechoslovakia,1962,1992
408,PRK,Dem. People's Rep. of Korea,1962,Now
180,COD,Dem. Rep. of the Congo,1962,Now
208,DNK,Denmark,1962,Now
262,DJI,Djibouti,1962,Now
212,DMA,Dominica,1962,Now
214,DOM,Dominican Rep.,1962,Now
588,PAK,East and West Pakistan,1962,1971
221,,"Eastern Europe, nes",1962,2004
218,ECU,Ecuador,1962,Now
818,EGY,Egypt,1962,Now
222,SLV,El Salvador,1962,Now
226,GNQ,Equatorial Guinea,1962,Now
232,ERI,Eritrea,1993,Now
233,EST,Estonia,1992,Now
231,ETH,Ethiopia,1993,Now
97,,EU-28,1962,Now
697,,"Europe EFTA, nes",1962,2004
492,,"Europe EU, nes",1962,2004
234,FRO,Faeroe Isds,1962,Now
238,FLK,Falkland Isds (Malvinas),1962,Now
242,FJI,Fiji,1962,Now
246,FIN,Finland,1962,Now
886,YEM,Fmr Arab Rep. of Yemen,1962,1990
278,DEU,Fmr Dem. Rep. of Germany,1962,1990
866,VNM,Fmr Dem. Rep. of Vietnam,1962,1974
720,YEM,Fmr Dem. Yemen,1962,1990
230,ETH,Fmr Ethiopia,1962,1992
280,DEU,Fmr Fed. Rep. of Germany,1962,1990
582,,Fmr Pacific Isds,1962,1991
590,PAN,"Fmr Panama, excl.Canal Zone",1962,1977
592,,Fmr Panama-Canal-Zone,1962,1977
868,VNM,Fmr Rep. of Vietnam,1962,1974
717,,Fmr Rhodesia Nyas,1962,1964
736,SDN,Fmr Sudan,1962,2011
835,,Fmr Tanganyika,1962,1964
810,,Fmr USSR,1962,1991
890,,Fmr Yugoslavia,1962,1991
836,,Fmr Zanzibar and Pemba Isd,1962,1964
260,ATF,Fr. South Antarctic Terr.,1962,Now
251,FRA,France,1962,Now
838,,Free Zones,1962,Now
254,GUF,French Guiana,1962,1995
258,PYF,French Polynesia,1962,Now
583,FSM,FS Micronesia,1992,Now
266,GAB,Gabon,1962,Now
270,GMB,Gambia,1962,Now
268,GEO,Georgia,1992,Now
276,DEU,Germany,1991,Now
288,GHA,Ghana,1962,Now
292,GIB,Gibraltar,1962,Now
300,GRC,Greece,1962,Now
304,GRL,Greenland,1962,Now
308,GRD,Grenada,1962,Now
312,GLP,Guadeloupe,1962,1995
316,GUM,Guam,1962,Now
320,GTM,Guatemala,1962,Now
324,GIN,Guinea,1962,Now
624,GNB,Guinea-Bissau,1962,Now
328,GUY,Guyana,1962,Now
332,HTI,Haiti,1962,Now
334,HMD,Heard Island and McDonald Islands,1962,Now
336,VAT,Holy See (Vatican City State),2000,Now
340,HND,Honduras,1962,Now
348,HUN,Hungary,1962,Now
352,ISL,Iceland,1962,Now
699,IND,India,1975,Now
356,IND,"India, excl. Sikkim",1962,1974
360,IDN,Indonesia,1962,Now
364,IRN,Iran,1962,Now
368,IRQ,Iraq,1962,Now
372,IRL,Ireland,1962,Now
376,ISR,Israel,1962,Now
381,ITA,Italy,1962,Now
388,JAM,Jamaica,1962,Now
392,JPN,Japan,1962,Now
400,JOR,Jordan,1962,Now
398,KAZ,Kazakhstan,1992,Now
404,KEN,Kenya,1962,Now
296,KIR,Kiribati,1962,Now
414,KWT,Kuwait,1962,Now
417,KGZ,Kyrgyzstan,1992,Now
473,,"LAIA, nes",1962,Now
418,LAO,Lao People's Dem. Rep.,1962,Now
428,LVA,Latvia,1992,Now
422,LBN,Lebanon,1962,Now
426,LSO,Lesotho,2000,Now
430,LBR,Liberia,1962,Now
434,LBY,Libya,1962,Now
440,LTU,Lithuania,1992,Now
442,LUX,Luxembourg,1999,Now
